Time,QuadX,QuadY,QuadZ,QuestX,QuestY,QuestZ,QuestRx,QuestRy,QuestRz,LeftX,LeftY,LeftZ,LeftRx,LeftRy,LeftRz,RightX,RightY,RightZ,RightRx,RightRy,RightRz
3/9/2023 4:26:58 PM,-208.702042,-0.04318753,-0.4333653,0.9688117,1.77028728,0.54371196,323.2746,71.3007,352.075958,0.8675493,0.9504898,0.06887241,330.9225,127.912506,36.11403,0.6524942,1.05828989,0.233936772,62.39988,10.2636032,45.209404
3/9/2023 4:26:58 PM,-208.702072,-0.04093033,-0.433124453,1.103357,1.75630558,0.5257733,322.495483,66.9564362,355.1166,0.9779329,0.8896023,-0.00747367,334.609833,131.323654,39.2543869,0.6524942,1.05828989,0.233936772,62.39988,10.2636032,45.209404
3/9/2023 4:26:58 PM,-208.702087,-0.0397745259,-0.431885928,1.28930092,1.77858031,0.508188069,325.2979,67.0187149,353.70636,1.14833117,0.8167943,-0.0636563152,350.240936,124.75666,48.63223,0.6524942,1.05828989,0.233936772,62.39988,10.2636032,45.209404
3/9/2023 4:26:58 PM,-208.7021,-0.0337720141,-0.432555616,1.426517,1.82046175,0.546832263,326.0505,63.3258743,354.262115,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,0.6524942,1.05828989,0.233936772,62.39988,10.2636032,45.209404
3/9/2023 4:26:58 PM,-208.7021,-0.03173106,-0.4331469,1.426517,1.82046175,0.546832263,324.40976,59.0782356,356.238373,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,0.6524942,1.05828989,0.233936772,62.39988,10.2636032,45.209404
3/9/2023 4:26:58 PM,-208.7021,-0.0326457843,-0.4326463,1.426517,1.82046175,0.546832263,326.5433,58.11445,356.756042,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,0.6524942,1.05828989,0.233936772,62.39988,10.2636032,45.209404
3/9/2023 4:26:59 PM,-208.702118,-0.03311544,-0.431975543,1.426517,1.82046175,0.546832263,328.297241,58.5418243,356.3718,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,0.6524942,1.05828989,0.233936772,62.39988,10.2636032,45.209404
3/9/2023 4:26:59 PM,-208.7021,-0.0335562,-0.4323203,1.426517,1.82046175,0.546832263,325.85672,55.8524323,357.976532,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63328457,0.735240638,2.08522773,1.19749618,39.1635437,271.7736
3/9/2023 4:26:59 PM,-208.7021,-0.0325282142,-0.43341586,1.426517,1.82046175,0.546832263,324.5262,57.1135254,354.663849,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63292682,0.735126734,2.085094,1.10263646,39.0578423,271.9254
3/9/2023 4:26:59 PM,-208.7021,-0.0322176665,-0.432383269,1.426517,1.82046175,0.546832263,321.227081,54.6945877,355.556335,1.24438679,0.82346344,-0.0472193547,353.688629,115.593765,48.46279,1.63133585,0.7356715,2.08503413,0.9204349,38.38779,271.822266
